ONS code,Local Authority,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
E09000001,City of London,5009.00,5117.10,5126.20,5263.30,5374.40,5373.50,5374.60,5420.70,5466.80,5458.90,5513.00,5531.00,5566.00,6003.00,6229.00,6306.00,6313.00,6451.00
E09000002,Barking and Dagenham,68298.00,68525.70,68837.40,68899.10,69260.80,69528.50,69835.20,70550.90,70838.60,70946.30,71079.00,71431.00,71937.00,72668.00,73182.00,73914.00,74510.00,74923.00
E09000003,Barnet,130515.00,130800.60,131883.20,132855.80,133902.40,134941.00,135428.60,136680.20,137768.80,138616.40,139346.00,141460.65,142834.65,143947.65,145271.65,146729.65,148528.65,150736.65
E09000004,Bexley,91606.00,91907.60,92223.20,92949.80,93220.40,93433.00,93745.60,94078.20,94370.80,94798.40,95037.00,95240.00,95658.00,96186.00,96996.00,96864.00,97628.00,97905.00
E09000005,Brent,101427.00,102828.10,103846.20,104454.30,105093.40,106767.50,107969.60,109036.70,110243.80,111413.90,112083.00,112643.00,113305.00,114039.00,115598.00,116649.00,118013.00,118707.00
E09000006,Bromley,128717.00,128974.20,129314.40,129808.60,130639.80,131387.00,132339.20,133112.40,133672.60,134297.80,135036.00,135612.00,136304.00,136453.00,136864.00,137564.00,138422.00,138976.00
E09000007,Camden,93112.00,93884.10,94460.20,94841.30,95563.40,96350.50,96997.60,97516.70,98556.80,99138.90,99828.00,100196.00,100760.00,101214.00,101653.00,102618.00,103826.00,104771.00
E09000008,Croydon,141300.00,141423.60,141819.20,142176.80,142566.40,142961.00,143713.60,144896.20,146151.80,147249.40,148099.00,148806.00,149697.00,150992.00,152515.00,154559.00,157394.00,159470.00
E09000009,Ealing,120331.00,120589.70,120922.40,121428.10,121909.80,122743.50,124111.20,125530.90,126380.60,126901.30,127187.00,127872.00,128862.00,129631.00,130528.00,131249.00,132094.00,133551.00
E09000010,Enfield,112948.00,114130.90,115273.80,116337.70,117055.60,117613.50,118667.40,119946.30,120623.20,121243.10,122042.00,122339.00,122888.00,123400.00,123799.00,124471.00,125369.00,125755.00
E09000011,Greenwich,95406.00,95971.90,96745.80,98181.70,99806.60,101193.50,101931.40,102257.30,102560.20,102651.10,103186.00,104509.00,104623.00,105735.00,106883.00,108603.00,110983.00,112884.00
E09000012,Hackney,87208.00,88556.56,90216.11,91587.67,92738.23,93940.78,95391.34,97301.90,99689.45,101657.01,102408.00,103564.60,104364.60,105489.60,106747.60,107573.60,108769.60,110036.60
E09000013,Hammersmith and Fulham,77095.00,77287.30,77608.60,78197.90,78666.20,79314.50,79968.80,80510.10,80994.40,81901.70,82390.00,82861.00,83281.00,83907.00,85267.00,85635.00,86609.00,88140.00
E09000014,Haringey,93638.00,94320.68,95142.37,95714.05,97168.74,98339.42,99827.11,100959.79,102294.47,103430.16,104173.00,105456.00,106033.00,106507.00,106640.00,106879.00,107620.00,108820.00
E09000015,Harrow,80734.00,80963.10,81524.20,82053.30,82704.40,83362.50,84071.60,84534.70,85394.80,85993.90,86524.00,86994.00,87709.00,88004.00,88414.00,89324.00,89980.00,90680.00
E09000016,Havering,93792.00,94194.47,94552.94,95182.41,95726.88,96191.35,97131.82,97551.29,98288.75,98805.22,99184.00,99226.00,99463.00,99619.00,100261.00,101273.00,101716.00,101993.00
E09000017,Hillingdon,99060.00,99327.50,99766.00,100305.50,100646.00,101240.50,101525.00,102019.50,102901.00,103507.50,103907.00,104896.00,106363.00,106917.00,107462.00,108171.00,108935.00,109777.00
E09000018,Hounslow,85810.00,86521.20,87433.40,88607.60,89508.80,90367.00,92108.20,94100.40,94968.60,95892.80,96892.00,97472.00,97704.00,98390.00,98787.00,99267.00,99824.00,100735.00
E09000019,Islington,83244.00,84255.30,85983.60,87262.90,87942.20,88819.50,90649.80,92378.10,94707.40,96300.70,96872.00,98096.00,99015.00,100258.00,100756.00,101783.00,102457.00,102824.00
E09000020,Kensington and Chelsea,83751.00,83818.70,83965.40,84363.10,84517.80,84595.50,84630.20,84576.90,84552.60,84756.30,84798.00,84900.00,84957.00,85553.00,86537.00,86921.00,87276.00,87611.00
E09000021,Kingston upon Thames,62474.00,62620.60,62868.20,63404.80,63918.40,64249.00,64546.60,64812.20,64971.80,65086.40,65198.00,65422.00,65625.00,65886.00,66412.00,66651.00,66924.00,67141.00
E09000022,Lambeth,120390.00,121455.00,122013.00,122819.00,123839.00,125207.00,126555.00,127978.00,129289.00,130655.00,132213.00,133063.00,133598.00,134852.00,136263.00,137610.00,138745.00,140288.00
E09000023,Lewisham,108964.00,109434.50,109746.00,110807.50,111594.00,112631.50,113286.00,114369.50,115576.00,116639.50,117651.00,118839.00,120637.00,121350.00,122818.00,124357.00,125961.00,126487.00
E09000024,Merton,80789.00,80602.20,80475.40,80332.60,80270.80,80541.00,80534.20,80683.40,81049.60,80970.80,80919.00,81429.00,81842.00,82282.00,82707.00,83215.00,83649.00,84297.00
E09000025,Newham,93390.00,94609.40,95490.80,96805.20,97377.60,98274.00,98994.40,99914.80,100984.20,102443.60,103212.00,104121.00,104791.00,106760.00,108810.00,110251.00,112628.00,114474.00
E09000026,Redbridge,93989.00,94682.20,95500.40,96195.60,96902.80,97665.00,98687.20,99313.40,99937.60,100888.80,101348.00,101874.00,102138.00,102396.00,102653.00,102707.00,103462.00,103924.00
E09000027,Richmond upon Thames,78411.00,78675.80,78956.60,79248.40,79877.20,80819.00,81104.80,81457.60,81853.40,82116.20,82482.00,82691.00,83176.00,83540.00,83781.00,84294.00,84759.00,85141.00
E09000028,Southwark,107119.00,107540.10,108467.20,110145.30,112162.40,113730.50,116041.60,118188.70,119656.80,121411.90,123265.00,124319.00,125566.00,127217.00,128358.00,129740.00,132152.00,132970.00
E09000029,Sutton,77701.00,77734.40,77855.80,78054.20,78353.60,78498.00,78633.40,79115.80,79444.20,79507.60,79696.00,80283.00,80510.00,80810.00,81237.00,81628.00,82281.00,82978.00
E09000030,Tower Hamlets,80225.00,82185.00,83659.00,85341.00,88380.00,91356.00,94373.00,97010.00,100471.00,103509.00,105379.00,108254.13,109215.13,109875.13,110791.13,113185.13,118012.13,120015.13
E09000031,Waltham Forest,91992.00,92409.30,92699.60,92990.90,93618.20,94380.50,95302.80,96281.10,97247.40,97623.70,98279.00,98783.00,99251.00,99640.00,100311.00,101284.00,102317.00,103029.00
E09000032,Wandsworth,120744.00,121619.60,122821.20,124137.80,125880.40,127243.00,128945.60,130226.20,132059.80,133885.40,134619.00,135601.00,136558.00,137757.00,138841.00,141579.00,143915.00,146162.00
E09000033,Westminster,101213.00,103123.70,104540.40,106760.10,108199.80,110180.50,111743.20,113412.90,115046.60,116644.30,118318.00,119245.00,119837.00,120367.00,121116.00,122024.00,123366.00,124509.00
